radmap_v4_2019_filtered_ML_kThU.tif|band_1,radmap_v4_2019_filtered_ML_kThU.tif|band_2,radmap_v4_2019_filtered_ML_kThU.tif|band_3,slope_relief_class_3s.tif|band_1,topographicWetnessIndex1s.tif|band_1,waterDeficitTotal.tif|band_1,precipitationTotal.tif|band_1,core_number,task
0.30956,11.119333,1.5030397,11.0,12.176936,-1362.001,511.30164,44404,0
0.31440118,11.111323,1.4969385,11.0,13.561499,-1361.9703,511.33478,44408,0
0.31440118,11.111323,1.4969385,11.0,13.561499,-1361.9703,511.33478,44412,0
0.41486868,11.723812,1.349787,11.0,12.023027,-1360.6545,512.3185,44414,0
0.41486868,11.723812,1.349787,11.0,12.023027,-1360.6545,512.3185,44416,0
0.41051024,11.786124,1.3422811,11.0,11.490354,-1360.6201,512.35254,44418,0
0.40544584,11.842898,1.3356562,11.0,10.918698,-1360.5856,512.3866,44422,0
0.36401638,10.400302,1.4671159,11.0,12.091398,-1362.6069,510.7791,44394,0
0.37161553,10.399513,1.4591463,11.0,12.091398,-1362.5787,510.81174,44398,0
0.28043988,8.6834,1.8248423,11.0,11.4785185,-1353.8943,520.75726,44424,0
0.28043988,8.6834,1.8248423,11.0,11.4785185,-1353.8943,520.75726,44426,0
0.28442636,8.774276,1.8024802,11.0,11.4785185,-1353.8782,520.78723,44428,0
0.24803889,8.611688,1.2004356,11.0,10.386546,-1353.2472,521.9084,44434,0
0.24803889,8.611688,1.2004356,11.0,10.386546,-1353.2472,521.9084,44436,0
0.25192782,8.663152,1.1609467,11.0,10.962907,-1353.2244,521.9393,44440,0
0.25192782,8.663152,1.1609467,11.0,10.962907,-1353.2244,521.9393,44442,0
0.102199584,8.321589,1.2999388,11.0,12.548143,-1352.4601,522.98505,44444,0
0.100207075,8.26488,1.2815039,11.0,12.425632,-1352.4386,523.0161,44446,0
0.100207075,8.26488,1.2815039,11.0,12.425632,-1352.4386,523.0161,44448,0
0.098336235,8.20688,1.2639726,11.0,12.260966,-1352.4171,523.0472,44450,0
0.094674125,8.1017685,1.315745,11.0,12.069742,-1352.4128,523.05426,44452,0
0.09205144,8.883132,1.5413551,11.0,10.519778,-1351.567,524.3127,44454,0
0.08361637,8.87564,1.567456,11.0,10.519778,-1351.5426,524.35046,44456,0
0.08361637,8.87564,1.567456,11.0,10.519778,-1351.5426,524.35046,44458,0
0.08361637,8.87564,1.567456,11.0,10.519778,-1351.5426,524.35046,44460,0
0.08482951,8.822289,1.5677898,11.0,10.121439,-1351.5227,524.3811,44462,0
0.23930272,14.63119,1.5481609,11.0,10.61852,-1340.584,535.0387,44464,0
0.30248976,14.019653,1.1978877,11.0,13.431496,-1335.5095,533.42847,79182,0
0.30248976,14.019653,1.1978877,11.0,13.431496,-1335.5095,533.42847,79276,0
0.29927626,13.982957,1.1730037,11.0,13.446714,-1335.486,533.4437,79374,0
0.33538884,13.64495,1.5354211,11.0,12.612974,-1336.793,524.19775,79174,0
0.3409521,14.009288,1.5077535,11.0,12.925752,-1336.8037,524.2178,79278,0
