srtm-1sec-demh-v1-COG|band_1,mrvbf_int|band_1,aspect_1s|band_1,focalrange300m_1s|band_1,mrrtf6g-a5_1s|band_1,plan_curvature_1s|band_1,PrescottIndex_01_1s_lzw|band_1,profile_curvature_1s|band_1,slopedeg_1s|band_1,slopepct1s|band_1,slope_relief|band_1,twi_1s(wetness)|band_1,core_number
214.09828,9.0,289.88318,5.4033813,5.5284834,0.005855511,0.4298449,-2.9617406e-05,0.50591975,0.8830195,11.0,11.726283,43594
214.09828,9.0,289.88318,5.4033813,5.5284834,0.005855511,0.4298449,-2.9617406e-05,0.50591975,0.8830195,11.0,11.726283,43596
214.10574,9.0,299.53943,5.151596,5.5249476,0.0073089874,0.42982584,-6.292467e-05,0.36591274,0.63864684,11.0,12.38015,43598
214.10574,9.0,299.53943,5.151596,5.5249476,0.0073089874,0.42982584,-6.292467e-05,0.36591274,0.63864684,11.0,12.38015,43600
214.10574,9.0,299.53943,5.151596,5.5249476,0.0073089874,0.42982584,-6.292467e-05,0.36591274,0.63864684,11.0,12.38015,43602
210.89157,9.0,214.0903,4.1821594,6.540209,0.015259297,0.42770776,7.618387e-05,0.73132163,1.2764664,11.0,10.684271,43604
210.89157,9.0,214.0903,4.1821594,6.540209,0.015259297,0.42770776,7.618387e-05,0.73132163,1.2764664,11.0,10.684271,43606
211.02127,9.0,229.70428,4.033615,6.5401936,-0.0040326877,0.42719173,1.5922813e-05,0.5926445,1.0343966,11.0,11.135084,43608
211.02127,9.0,229.70428,4.033615,6.5401936,-0.0040326877,0.42719173,1.5922813e-05,0.5926445,1.0343966,11.0,11.135084,43610
211.02127,9.0,229.70428,4.033615,6.5401936,-0.0040326877,0.42719173,1.5922813e-05,0.5926445,1.0343966,11.0,11.135084,43612
214.58412,9.0,171.19748,4.5134583,6.6130123,0.015491632,0.4274099,0.000386238,0.762242,1.3304418,11.0,8.157619,43614
214.58412,9.0,171.19748,4.5134583,6.6130123,0.015491632,0.4274099,0.000386238,0.762242,1.3304418,11.0,8.157619,43616
214.58412,9.0,171.19748,4.5134583,6.6130123,0.015491632,0.4274099,0.000386238,0.762242,1.3304418,11.0,8.157619,43618
214.70662,9.0,326.4019,4.5134583,6.6130247,0.7975905,0.42547804,0.0005607826,0.028509758,0.04975892,11.0,10.457736,43620
214.70662,9.0,326.4019,4.5134583,6.6130247,0.7975905,0.42547804,0.0005607826,0.028509758,0.04975892,11.0,10.457736,43622
210.4196,9.0,202.04561,1.274231,6.5788927,0.011158703,0.4251518,1.4955071e-05,0.093685396,0.163512,11.0,12.630195,43624
